run_name,processor,model,parameters,status,generation_count,latency,total_tokens,prompt_tokens,completion_tokens,parameters,timestamp,test_date,category,trace_id,batch_id
2c16_tpusg,tpusg,codestral,P,failure,5,71.47,13888,10240,3648,P,1755040832,08.15,codestral_tpusg_P,2c16c0ce,codestral_e6d3_tpusg
44ce_tpusg,tpusg,codestral,P,failure,5,82.43,14506,10240,4266,P,1755040942,08.15,codestral_tpusg_P,44cec04d,codestral_e6d3_tpusg
9939_tpusg,tpusg,codestral,P,failure,5,89.7,14916,10240,4676,P,1755041072,08.15,codestral_tpusg_P,9939e16f,codestral_e6d3_tpusg
4ef9_tpusg,tpusg,codestral,P,failure,5,81.5,14452,10240,4212,P,1755041197,08.15,codestral_tpusg_P,4ef98a63,codestral_e6d3_tpusg
1dca_tpusg,tpusg,codestral,P,failure,5,71.88,13886,10240,3646,P,1755041320,08.15,codestral_tpusg_P,1dca5d6e,codestral_e6d3_tpusg
a6f0_tpusg,tpusg,codestral,P,failure,5,81.75,14463,10240,4223,P,1755041422,08.15,codestral_tpusg_P,a6f0f20c,codestral_e6d3_tpusg
9586_tpusg,tpusg,codestral,P,success,5,62.76,13391,10240,3151,P,1755041542,08.15,codestral_tpusg_P,958622f5,codestral_e6d3_tpusg
eff1_tpusg,tpusg,codestral,P,success,3,60.52,9326,6144,3182,P,1755041643,08.15,codestral_tpusg_P,eff1795e,codestral_e6d3_tpusg
4865_tpusg,tpusg,codestral,P,failure,5,38.17,12012,10240,1772,P,1755041780,08.15,codestral_tpusg_P,48658181,codestral_e6d3_tpusg
ea5f_tpusg,tpusg,codestral,P,success,4,85.36,12697,8192,4505,P,1755041833,08.15,codestral_tpusg_P,ea5fee76,codestral_e6d3_tpusg
7b24_tpusg,tpusg,codestral,P,failure,5,63.28,13425,10240,3185,P,1755041993,08.15,codestral_tpusg_P,7b24ee84,codestral_e6d3_tpusg
dc7b_tpusg,tpusg,codestral,P,failure,5,74.92,14082,10240,3842,P,1755042087,08.15,codestral_tpusg_P,dc7bfa4b,codestral_e6d3_tpusg
ac20_tpusg,tpusg,codestral,P,failure,5,64.62,13497,10240,3257,P,1755042192,08.15,codestral_tpusg_P,ac201e38,codestral_e6d3_tpusg
1fde_tpusg,tpusg,codestral,P,failure,5,75.94,14134,10240,3894,P,1755042295,08.15,codestral_tpusg_P,1fdec86e,codestral_e6d3_tpusg
1c1f_tpusg,tpusg,codestral,P,success,4,69.52,11805,8192,3613,P,1755042409,08.15,codestral_tpusg_P,1c1ff4ce,codestral_e6d3_tpusg
a7d8_tpusg,tpusg,codestral,P,failure,5,79.36,14329,10240,4089,P,1755042554,08.15,codestral_tpusg_P,a7d8c023,codestral_e6d3_tpusg
d1b7_tpusg,tpusg,codestral,P,success,3,52.51,8875,6144,2731,P,1755042673,08.15,codestral_tpusg_P,d1b7c1a1,codestral_e6d3_tpusg
6cc9_tpusg,tpusg,codestral,P,failure,5,105.66,15814,10240,5574,P,1755042797,08.15,codestral_tpusg_P,6cc9d4aa,codestral_e6d3_tpusg
7aa0_tpusg,tpusg,codestral,P,failure,5,71.01,13858,10240,3618,P,1755042941,08.15,codestral_tpusg_P,7aa02ae1,codestral_e6d3_tpusg
6dc1_tpusg,tpusg,codestral,P,failure,5,44.36,12364,10240,2124,P,1755043052,08.15,codestral_tpusg_P,6dc18df5,codestral_e6d3_tpusg
77f0_tpusg,tpusg,codestral,P,failure,5,70.5,13824,10240,3584,P,1755043111,08.15,codestral_tpusg_P,77f078d2,codestral_e6d3_tpusg
b42f_tpusg,tpusg,codestral,P,failure,5,73.56,14000,10240,3760,P,1755043222,08.15,codestral_tpusg_P,b42f9c07,codestral_e6d3_tpusg
1979_tpusg,tpusg,codestral,P,failure,5,45.44,12421,10240,2181,P,1755043338,08.15,codestral_tpusg_P,19790f0a,codestral_e6d3_tpusg
3a97_tpusg,tpusg,codestral,P,success,4,73.21,12010,8192,3818,P,1755043399,08.15,codestral_tpusg_P,3a97fc61,codestral_e6d3_tpusg
e6c6_tpusg,tpusg,codestral,P,success,3,62.41,9430,6144,3286,P,1755043549,08.15,codestral_tpusg_P,e6c68b2b,codestral_e6d3_tpusg
604f_tpusg,tpusg,codestral,P,success,3,54.34,8977,6144,2833,P,1755043684,08.15,codestral_tpusg_P,604fa2cb,codestral_e6d3_tpusg
